                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 0.7013,                0.33335,                0.77805,                 0.9462,                0.74547,                0.82827,                0.58474,                 0.7975,                0.36882,                0.79391,             0.00066425,             0.00066425,             0.00066425
                     73,                0.70293,                0.33507,                0.77638,                0.97689,                 0.7129,                0.81018,                0.56084,                0.82674,                0.39686,                0.79616,               0.000656,               0.000656,               0.000656
                     74,                 0.7224,                0.33795,                0.77815,                0.89268,                0.73292,                0.80353,                0.56087,                0.77499,                0.37983,                0.79465,             0.00064775,             0.00064775,             0.00064775
                     75,                0.69386,                0.32825,                 0.7781,                0.92779,                0.70971,                0.81416,                0.56308,                0.80743,                0.37447,                0.79612,              0.0006395,              0.0006395,              0.0006395
                     76,                0.69099,                0.32711,                0.78053,                0.89902,                0.72165,                0.81686,                0.56064,                0.82322,                0.37837,                0.79658,             0.00063125,             0.00063125,             0.00063125
                     77,                0.68316,                0.32442,                0.77874,                0.88638,                0.74106,                0.81879,                0.58473,                0.77524,                 0.3641,                0.79509,               0.000623,               0.000623,               0.000623
                     78,                0.69894,                0.32689,                 0.7763,                0.87198,                0.73486,                0.82675,                0.58535,                0.78118,                0.37672,                0.79321,             0.00061475,             0.00061475,             0.00061475
                     79,                 0.7016,                0.32667,                0.77807,                0.90368,                 0.7357,                0.82792,                0.58759,                0.79017,                0.37495,                0.79426,              0.0006065,              0.0006065,              0.0006065
                     80,                0.70373,                0.32842,                0.77668,                0.86008,                0.73159,                 0.8223,                0.57951,                0.78097,                0.36884,                0.79501,             0.00059825,             0.00059825,             0.00059825
                     81,                0.68472,                0.32078,                0.77664,                0.89266,                0.78174,                0.84929,                0.59135,                0.80241,                0.37864,                 0.7944,                0.00059,                0.00059,                0.00059
                     82,                0.67086,                0.31459,                0.77424,                0.93056,                0.75547,                0.83976,                0.58143,                0.83331,                0.37644,                 0.7963,             0.00058175,             0.00058175,             0.00058175
                     83,                0.67431,                0.31429,                0.77353,                0.89801,                0.75865,                0.82032,                0.58892,                0.78264,                0.36593,                 0.7944,              0.0005735,              0.0005735,              0.0005735
                     84,                0.65603,                0.30853,                0.77428,                0.90052,                0.71981,                0.81637,                 0.5845,                0.78519,                0.37101,                0.79316,             0.00056525,             0.00056525,             0.00056525
                     85,                0.65821,                0.30868,                0.77521,                0.90801,                0.74725,                0.83091,                0.58961,                 0.8077,                 0.3678,                0.79694,               0.000557,               0.000557,               0.000557
                     86,                0.64858,                0.30613,                0.77564,                0.91056,                0.73729,                0.83895,                0.59638,                0.77635,                0.36529,                0.79401,             0.00054875,             0.00054875,             0.00054875
                     87,                0.64803,                0.30548,                0.77462,                0.92924,                0.73163,                0.82267,                 0.5817,                0.78547,                0.36031,                0.79544,              0.0005405,              0.0005405,              0.0005405
                     88,                0.64581,                0.30346,                0.77474,                0.91259,                0.73949,                0.83513,                0.58722,                0.79837,                0.36732,                 0.7948,             0.00053225,             0.00053225,             0.00053225
                     89,                0.65175,                 0.3091,                0.77494,                0.91717,                0.73795,                 0.8377,                0.58258,                0.79831,                0.36739,                 0.7943,               0.000524,               0.000524,               0.000524
                     90,                0.65381,                0.30802,                0.77407,                0.92074,                0.72308,                0.82378,                0.58075,                0.79658,                0.38233,                0.79497,             0.00051575,             0.00051575,             0.00051575
                     91,                0.64337,                0.30672,                0.77557,                0.89766,                0.76347,                0.82732,                0.58931,                0.77484,                0.36391,                0.79273,              0.0005075,              0.0005075,              0.0005075
                     92,                0.64573,                 0.3075,                0.77344,                0.89503,                0.72056,                0.79976,                0.57514,                0.77992,                0.37079,                0.79438,             0.00049925,             0.00049925,             0.00049925
                     93,                0.63591,                0.30357,                0.77319,                0.90307,                0.74536,                0.81673,                0.57976,                0.79141,                0.36007,                 0.7946,               0.000491,               0.000491,               0.000491
                     94,                0.64612,                0.30414,                0.77451,                0.90972,                0.74539,                0.83324,                0.59382,                0.77137,                0.36076,                0.79409,             0.00048275,             0.00048275,             0.00048275
                     95,                0.63245,                0.30199,                0.77376,                0.92058,                0.72631,                 0.8288,                0.57862,                0.80188,                0.38003,                0.79465,              0.0004745,              0.0004745,              0.0004745
                     96,                0.66119,                0.31176,                0.77449,                0.92596,                 0.7636,                 0.8303,                0.58848,                0.80045,                0.36771,                0.79573,             0.00046625,             0.00046625,             0.00046625
                     97,                0.64036,                0.30699,                0.77496,                0.92347,                0.74297,                0.83202,                0.59677,                0.80347,                0.37103,                0.79453,               0.000458,               0.000458,               0.000458
                     98,                 0.6285,                 0.3025,                0.77346,                0.88244,                0.75141,                0.81463,                0.57517,                0.78002,                0.36165,                0.79539,             0.00044975,             0.00044975,             0.00044975
                     99,                0.62945,                0.30252,                 0.7747,                0.91537,                 0.7135,                0.80381,                0.57248,                0.81835,                0.37515,                0.79658,              0.0004415,              0.0004415,              0.0004415
                    100,                0.63882,                0.30338,                0.77479,                0.92656,                0.73088,                0.80981,                0.57511,                0.78057,                0.37142,                0.79329,             0.00043325,             0.00043325,             0.00043325
                    101,                0.63844,                0.30076,                0.77369,                0.91757,                0.73689,                0.81325,                0.57854,                0.78623,                0.37155,                0.79415,               0.000425,               0.000425,               0.000425
                    102,                0.60906,                0.29106,                0.77335,                0.88812,                0.74925,                0.83023,                0.58376,                0.80773,                0.37334,                0.79552,             0.00041675,             0.00041675,             0.00041675
                    103,                0.61986,                0.29307,                0.77311,                0.96036,                0.72623,                0.82806,                0.58548,                0.80186,                0.36316,                0.79456,              0.0004085,              0.0004085,              0.0004085
                    104,                0.61221,                0.29136,                0.77113,                0.90002,                0.74538,                0.81362,                0.57323,                0.78723,                 0.3648,                0.79377,             0.00040025,             0.00040025,             0.00040025
                    105,                 0.6107,                0.28819,                0.77137,                0.89461,                0.76106,                0.81131,                0.59196,                 0.7735,                0.36144,                0.79419,               0.000392,               0.000392,               0.000392
                    106,                0.60554,                0.28642,                 0.7719,                0.93279,                0.74926,                0.83705,                0.60482,                0.77808,                0.36111,                0.79476,             0.00038375,             0.00038375,             0.00038375
                    107,                0.59783,                0.28598,                0.77366,                0.95498,                0.72335,                0.82464,                0.59458,                0.77396,                0.35127,                0.79389,              0.0003755,              0.0003755,              0.0003755
                    108,                0.59921,                0.28578,                 0.7721,                0.95336,                 0.7221,                0.82625,                0.58361,                0.78559,                0.36042,                0.79381,             0.00036725,             0.00036725,             0.00036725
                    109,                0.58179,                0.27919,                0.77347,                0.92791,                0.73862,                0.83851,                0.59348,                0.77592,                0.35303,                0.79339,               0.000359,               0.000359,               0.000359
                    110,                0.58476,                0.27871,                0.77303,                0.90832,                0.72864,                0.80674,                0.58178,                0.77988,                0.35574,                0.79434,             0.00035075,             0.00035075,             0.00035075
                    111,                0.60204,                0.28602,                0.77385,                0.95904,                0.72962,                0.81849,                0.58847,                0.78095,                0.36109,                 0.7938,              0.0003425,              0.0003425,              0.0003425
                    112,                0.59624,                0.28232,                0.77351,                 0.9197,                 0.7366,                0.81226,                0.58525,                0.76445,                0.35881,                0.79297,             0.00033425,             0.00033425,             0.00033425
                    113,                0.58787,                0.28239,                 0.7731,                0.95223,                0.72109,                0.82057,                 0.5867,                0.78903,                0.35539,                0.79483,               0.000326,               0.000326,               0.000326
                    114,                0.57977,                0.27629,                0.77202,                0.91399,                0.74081,                0.81774,                0.59069,                0.78681,                0.35941,                0.79463,             0.00031775,             0.00031775,             0.00031775
                    115,                0.58383,                0.27874,                0.77264,                0.95078,                0.72456,                0.81814,                0.57777,                0.80133,                0.35501,                0.79532,              0.0003095,              0.0003095,              0.0003095
                    116,                0.57724,                0.27787,                0.77219,                 0.8885,                0.75724,                0.82755,                0.60489,                0.77822,                0.35036,                0.79448,             0.00030125,             0.00030125,             0.00030125
                    117,                0.56268,                0.26937,                  0.772,                0.93412,                0.71814,                0.81904,                0.59129,                0.78906,                0.35344,                0.79414,               0.000293,               0.000293,               0.000293
                    118,                0.57576,                0.27433,                0.77225,                0.93948,                0.72198,                0.81465,                0.59248,                0.77961,                0.35354,                0.79565,             0.00028475,             0.00028475,             0.00028475
                    119,                0.57922,                0.27471,                0.76971,                0.89313,                0.73623,                0.81971,                0.60024,                 0.7927,                0.35973,                0.79438,              0.0002765,              0.0002765,              0.0002765
                    120,                0.57211,                0.27329,                0.76974,                 0.9023,                0.73945,                0.82221,                0.59656,                0.78194,                 0.3499,                0.79454,             0.00026825,             0.00026825,             0.00026825
                    121,                0.56576,                0.26977,                0.77083,                 0.9644,                0.73651,                0.83239,                0.59148,                0.77386,                 0.3512,                0.79303,                0.00026,                0.00026,                0.00026
                    122,                0.57258,                0.27245,                 0.7718,                0.94662,                0.73014,                0.83348,                0.59611,                0.78233,                0.35147,                0.79359,             0.00025175,             0.00025175,             0.00025175
                    123,                0.54545,                0.26247,                 0.7716,                  0.962,                0.74718,                  0.822,                0.59584,                0.77462,                0.34765,                0.79297,              0.0002435,              0.0002435,              0.0002435
